ID	备注	所属npcID	所属父任务ID	优先级	是否自动触发
1901701	找到云堇的对话	509	19017	5	
1901702	击败怪物后的对话	509	19017	5	
1901703	回到冒险家协会的对话	12318	19017	5	
1901704		12318	19017	5	
1901801		505	19018	5	
1901802		505	19018	5	
1901803		505	19018	5	
1901901		505	19019	5	
1901902		505	19019	5	
1901903		505	19019	5	
1901904	八重堂对话	505	19019	5	
1901905	抽签	505	19019	5	
1901906	和八重神子对话	505	19019	5	
1902001		505	19020	5	
1902002		505	19020	5	
1902003		505	19020	5	
1902004		505	19020	5	
1902005		505	19020	5	
1902601		12205	19026	5	
1902602		505	19026	5	
1902603		505	19026	5	
1902701		505	19027	5	
1902702		505	19027	5	
1902703		505	19027	5	
1902704		505	19027	5	
1902801		3004	19028	5	
1902802		3010	19028	5	
1902803		505	19028	5	
1902804		3004	19028	5	
1902805		505	19028	5	
1903605	初见平藏，询问急不急	511	19036	5	
1903606	初见平藏，询问急不急	511	19036	5	1
1903701	等到晚上去找云堇	509	19037	5	
1903702	被记者拦下，是否接受采访	12319	19037	5	
1903801	潜行失败去找云堇对话	509	19038	5	
1903802	潜行成功，偷听对话	12320	19038	5	
1903804	从长计议后找云堇对话	509	19038	5	
1903805	跟云堇一起拆穿主编	509	19038	5	
1903806		12319	19038	5	
1903808	coopfail节点	12320	19038	5	
1903905	不急——调查营地	511	19039	5	
1903907	与柴田对话	3142	19039	5	
1903908	到附近与平藏对话	511	19039	5	
1904001	准备去吃烤鱼	509	19040	5	
1904002	去快刀陈那里吃烤鱼	2044	19040	5	
1904003	玩饮料游戏	509	19040	5	
1904004	云堇最终问话	509	19040	5	
1904005	给云堇拍照	509	19040	5	
1904006	跟云堇合影	509	19040	5	
1904701	唱戏训练1	509	19047	5	
1904702	唱戏训练2-1	509	19047	5	
1904703	唱戏训练2-2	509	19047	5	
1904704	唱戏训练3	509	19047	5	
1904705		509	19047	5	
1904706		509	19047	5	
1905001	死兆星宴会	2440	19050	5	
1905002	新人培训	2433	19050	5	
1905003	藏宝图	506	19050	5	
1905004	和北斗单聊	506	19050	5	
1905101	北斗考试	506	19051	5	1
1905102	摄影小组	2433	19051	5	1
1905103	北斗拍照	506	19051	5	
1905104	拍照结束	506	19051	5	1
1905105	抵达北斗故乡	506	19051	5	
1905106	告示牌	506	19051	5	
1905201	开船实操	506	19052	5	
1905202	开船之后	506	19052	5	
1905203	璃月港口	506	19052	5	
1905204	第一个接头点	12215	19052	5	1
1905205	第三个接头点	12217	19052	5	1
1905206	孤云阁交易	12217	19052	5	1
1905207	与北斗在沙滩上	506	19052	5	1
1905208	第二个接头点	12216	19052	5	1
1905301	与盗宝团首领	12219	19053	5	
1905302	第二个藏宝点	506	19053	5	
1905303	第三个藏宝点	506	19053	5	
1905304	老太太屋前	506	19053	5	
1905305	在墟散人离处	506	19053	5	
1905306	归离原起始	506	19053	5	
1905401	轻策庄	2306	19054	5	
1905402	大树纷争	12224	19054	5	
1905404	宝箱案子	12225	19054	5	
1905405	宴席	2306	19054	5	
1905406	桥边	506	19054	5	
1905506	将消息告诉平藏	511	19055	5	
1905508	询问野伏众真相	12548	19055	5	
1905509	与商人对峙	12551	19055	5	
1905511	到附近与平藏对话	511	19055	5	
1905602	急——回奉行所	3020	19056	5	
1905608	看卷宗	511	19056	5	
1905701	去鸣神大社	3106	19057	5	
1905702	去小吃摊找伊庭	12553	19057	5	
1905703	找一斗	1044	19057	5	
1905704	演出	511	19057	5	
1906001	与珊瑚和龙二对话	3041	19060	5	
1906002	与平藏对话	511	19060	5	
1906003	与大和田对话	3019	19060	5	
1906004	与平藏推理动机	511	19060	5	
1906005	与平藏推理过程	511	19060	5	1
1906006	三个疑点	511	19060	5	1
1906007	换个地方与平藏对话	511	19060	5	
1906008	与龙二对话	3042	19060	5	
1906011	与珊瑚对话	3041	19060	5	
1906012	与龙二对话	3042	19060	5	
1913101	起始三秘书+凝光对话	507	19131	5	1
1913102	记事板前三秘书对话	2142	19131	5	
1913201	叫凝光起床，正常工作行程	507	19132	5	
1913202	与凝光一起吃早餐	507	19132	5	
1913203	把礼服递给凝光	508	19132	5	1
1913204	新月轩吃饭	12297	19132	5	
1913301	明星斋取梳子	2020	19133	5	
1913302	找小朋友问情报	12298	19133	5	1
1913303	找到幕后主使人	12301	19133	5	1
1913304	回去找小朋友道歉	12298	19133	5	1
1913305	去码头玩结局	508	19133	5	
1913401	拍卖会与三秘书对话	2143	19134	5	
1913402	进行拍卖会	508	19134	5	
1913403	拍卖会结束结局	508	19134	5	
1913501	找莺儿量身	2083	19135	5	
1913502	找星稀订做棋子	2020	19135	5	
1913503	回群玉阁对话	507	19135	5	
1913601	找狗三儿收废品	2006	19136	5	
1913602	找博来卖废品	2013	19136	5	
1913603	抓完盗宝鼬对话	507	19136	5	1
1913604	烤鱼结局	507	19136	5	
1913605	找宝箱对话1	507	19136	5	1
1913606		507	19136	5	1
1913609	试用凝光对话	507	19136	5	
1913701	北国银行找叶卡捷琳娜	2145	19137	5	
1913702	出银行楼下对话	507	19137	5	
1913703	第一个地方停留对话	507	19137	5	1
1913704	第一段可疑人追踪对话	12306	19137	5	
1913705	第一段慌张人追踪对话	12307	19137	5	
1913706	第一段沉思人追踪对话	12308	19137	5	
1913707	第二个点停留对话	507	19137	5	1
1913708	第三段慌张人跟踪	12307	19137	5	
1913709	第二段忧虑人跟踪	12309	19137	5	
1913710	第三段可疑人跟踪	12306	19137	5	
1913711	第三个点停留对话	507	19137	5	1
1913712	混淆人B最后对话	12307	19137	5	
1913713	混淆人C最后对话	12309	19137	5	
1913714	跟踪人最后对话	12306	19137	5	
1913715	回北国银行对话	2145	19137	5	
1913716	第一段可疑人待机对话	12306	19137	5	
1913717	第一段慌张人待机对话	12307	19137	5	
1913718	第一段沉思人待机对话	12308	19137	5	
1913719	第二段可疑人追踪对话	12306	19137	5	
1913720	第二段沉思人追踪对话	12308	19137	5	
1913721	第二段可疑人闲置对话	12306	19137	5	
1913722	第二段忧虑人闲置	12309	19137	5	
1913723	第二段沉思人闲置对话	12308	19137	5	
1913724	第三段忧虑人跟踪	12309	19137	5	
1913725	第三段慌张人闲置	12307	19137	5	
1913726	第三段忧虑人闲置	12309	19137	5	
1913727	第三段可疑人闲置	12306	19137	5	
1913801	叫凝光起床，询问休息安排	507	19138	5	
1914101	久岐忍捞小弟	510	19141	5	
1914102	捞小弟后教训小弟	510	19141	5	1
1914201	向八重道歉	1034	19142	5	
1914302	抓捕阿守	12540	19143	5	
1914305	抓捕元太	12539	19143	5	
1914307	久岐忍委托玩家寻找小弟C	510	19143	5	
1914309	跟小弟C对话	12276	19143	5	
1914401	跟小弟们对话	12277	19144	5	1
1914402	进入乌有亭偷窥久岐忍	510	19144	5	
1914403	跟斗子哥商量	1044	19144	5	
1914404	回乌有亭看看	510	19144	5	
1914405	跟志村屋对话	3015	19144	5	
1914406	跟九十九物对话	3002	19144	5	
1914407	跟翔太对话	3045	19144	5	
1914408	跟斗子哥在公告板对话	1044	19144	5	
1914501	一日巫女线商人对话	12503	19145	5	
1914502	一日巫女线小说家对话	12506	19145	5	
1914503	一日巫女线老婆婆对话	12508	19145	5	
1914509	跟久岐忍对话制作御守	510	19145	5	
1914511	回复神子	1034	19145	5	
1914512	到门口触发跟久岐忍的对话	510	19145	5	
1914601	跟阿幸对话	12530	19146	5	
1914605	清除小广告对话1	12530	19146	5	
1914606	清除小广告对话2	12530	19146	5	
1914607	清除小广告对话3	12530	19146	5	
1914609	山腰跟小弟对话	510	19146	5	
1914701	久岐忍给小弟们上课	510	19147	5	
1914801	回复久岐忍	510	19148	5	
1914802	跟久岐忍到达箱子处	510	19148	5	
1914805	跟海乱鬼对话	12512	19148	5	
1914807	跟久岐忍的总结对话	510	19148	5	
